Date,Value
7/3/16,344995
7/2/16,375377
7/1/16,402792
6/30/16,371774
6/29/16,428929
6/28/16,379861
6/27/16,388840
6/26/16,409197
6/25/16,437104
6/24/16,431633
6/23/16,422909
6/22/16,468641
6/21/16,465928
6/20/16,414283
6/19/16,423334
6/18/16,453509
6/17/16,471278
6/16/16,445830
6/15/16,420352
6/14/16,451922
6/13/16,411623
6/12/16,374995
6/11/16,407301
6/10/16,426447
6/9/16,401953
6/8/16,424994
6/7/16,414350
6/6/16,368586
6/5/16,368869
6/4/16,402066
6/3/16,392655
6/2/16,405301
6/1/16,392767
5/31/16,403738
5/30/16,354651
5/29/16,377266
5/28/16,407566
5/27/16,364137
5/26/16,397464
5/25/16,406728
5/24/16,414216
5/23/16,338084
5/22/16,354128
5/21/16,354677
5/20/16,372460
5/19/16,412831
5/18/16,393224
5/17/16,424856
5/16/16,353892
5/15/16,369111
5/14/16,378733
5/13/16,377121
5/12/16,383199
5/11/16,405856
5/10/16,405580
5/9/16,349946
5/8/16,337042
5/7/16,375533
5/6/16,374537
5/5/16,394207
5/4/16,374677
5/3/16,391943
5/2/16,370083
