Date,Value
7/12/16,218089
7/11/16,162608
7/10/16,185405
7/9/16,210701
7/8/16,216812
7/7/16,214691
7/6/16,214959
7/5/16,213900
7/4/16,177127
7/3/16,198875
7/2/16,210409
7/1/16,231960
6/30/16,224112
6/29/16,213058
6/28/16,217029
6/27/16,183755
6/26/16,210998
6/25/16,238888
6/24/16,241300
6/23/16,235641
6/22/16,248164
6/21/16,249334
6/20/16,218298
6/19/16,236291
6/18/16,253752
6/17/16,267870
6/16/16,262510
6/15/16,247632
6/14/16,251354
6/13/16,210711
6/12/16,213159
6/11/16,228367
6/10/16,236353
6/9/16,229933
6/8/16,248576
6/7/16,221171
6/6/16,190528
6/5/16,196665
6/4/16,234669
6/3/16,231099
6/2/16,234385
6/1/16,215249
5/31/16,211369
5/30/16,178742
5/29/16,193054
5/28/16,215296
5/27/16,220093
5/26/16,247844
5/25/16,246517
5/24/16,222755
5/23/16,184348
5/22/16,191461
5/21/16,209396
5/20/16,219146
5/19/16,235084
5/18/16,238626
5/17/16,239809
5/16/16,200171
5/15/16,211280
5/14/16,232146
5/13/16,228409
5/12/16,234412
5/11/16,245721
5/10/16,226451
5/9/16,185562
5/8/16,202062
5/7/16,233232
5/6/16,229580
5/5/16,233693
5/4/16,235609
5/3/16,223785
